StrID,msID,mu.se_A,mu.se_B,mu.se_C,mu_A,mu_B,mu_C,pi.se_A,pi.se_B,pi.se_C,pi_A,pi_B,pi_C,sigma.se_A,sigma.se_B,sigma.se_C,sigma_A,sigma_B,sigma_C,MS.Day,UNIT,ENTRY,MS.Ord,MS.tecRep
Str167,653,0.1089303393765018,0.3503568108428019,0.31202589061681646,3.111015891789857,1.7854806352028296,-0.19503618580663634,0.16178171334499583,0.17498552130367617,0.03655577934388449,0.5158467927974362,0.43785503005586857,0.0462981771466952,0.07376507393226714,0.27256564794863447,0.215880975980469,0.3910500905318921,0.735490305629506,0.3396190759683805,9,189,32,16,1
Str167,654,0.10862958087851271,0.34936655512296183,0.31190002370122427,3.110512666696918,1.784453791145687,-0.19557851145906466,0.16121555155786313,0.1743838258822247,0.036496926293666306,0.5161829131588249,0.43759184403230106,0.04622524280887403,0.07355356746127012,0.2719678901466865,0.21585068439690328,0.39069092906752795,0.7351506234329652,0.33941558690464635,9,189,32,16,2
Str168,655,0.07557441629522998,0.43566426918172646,0.3680354776848805,3.0051372339919005,1.588942247320748,-0.25903947916470654,0.11998945011542253,0.13096042727592883,0.033175919320828404,0.7028985822684765,0.2682138046258417,0.028887613105681807,0.053336675424310684,0.3482099537778742,0.2649827565533074,0.3961611060872592,0.7585208720719832,0.30681803523946294,2,122,180,11,1
Str168,656,0.07549918365982874,0.4347043756577217,0.36738497477964493,3.0056450890985227,1.5894892908048586,-0.2590176533348265,0.11989156682875372,0.1308536964170646,0.0330846750835918,0.7027308354408565,0.268389598131761,0.02887956642738254,0.05328242992328326,0.34771153973771457,0.2644234098566617,0.3957117727799609,0.757913243945929,0.3067481503090097,2,122,180,11,2
Str168,657,0.12209208740604363,0.29232239141889993,0.26817855945504565,3.0255378416395002,1.692020368859839,-0.212510181790792,0.15603578987200994,0.16990649738656338,0.03213810862817828,0.49091553982639335,0.4615012441983702,0.04758321597523642,0.07436330463298979,0.2512720384411145,0.18740855222857045,0.37297219184551944,0.641041889922752,0.3248558900402236,9,69,180,6,1
Str168,658,0.1222755303880061,0.29201538091330953,0.26789201576193716,3.0246262961894894,1.6931094323877922,-0.21220634003904812,0.15634295917784383,0.17017129726836958,0.032116860916785235,0.4893885348971879,0.4630053473083683,0.047606117794443764,0.07447524008500561,0.25048776805121314,0.18724141385417134,0.3726334211213294,0.6410969178638463,0.32481314132074446,9,69,180,6,2
Str169,659,0.05300558577717093,0.2730889203932524,0.5589244940312367,2.9895975184335346,1.0785520398722073,-0.3061646849944963,0.04580935546478825,0.06400171219308523,0.03362615562557599,0.8611410624762696,0.12067583384669746,0.018183103677032908,0.04091693499614415,0.4293401819728737,0.3563302763525735,0.41200940057106994,0.5618294155883865,0.28676317817973346,2,206,50,18,1
Str169,660,0.05299777118676326,0.27260285583649757,0.559073138108309,2.989697509142004,1.0786768036518635,-0.3058716193282826,0.045773702704895815,0.06391211757786981,0.03357997952816213,0.8610913765274677,0.12073000465182594,0.018178618820706326,0.040913300482751824,0.4282295568029329,0.3562853340654397,0.4120999405316676,0.5613465704106081,0.28680872545576536,2,206,50,18,2
Str169,661,0.0892968174224132,0.39675786732050805,0.35491755418378695,3.024678274695953,1.737983213643712,-0.22369748876055054,0.14040204689750876,0.14685411714375612,0.033833812272493116,0.6242291767270951,0.33863392528598857,0.03713689798691636,0.06186814869722092,0.26773048420985457,0.2511643854517728,0.3995731732352309,0.7522037917625609,0.3346492763852635,4,232,50,20,1
Str169,662,0.08921364135020315,0.39566404010408474,0.35420295512988514,3.024132308435197,1.7372403863935812,-0.22410132742920771,0.14036586844456736,0.14688828405833085,0.033769382982058754,0.6236483171714022,0.33923353059890604,0.03711815222969169,0.06181403259110633,0.2675679526218945,0.25066979286210117,0.39907772253848084,0.7515276104145336,0.33440458580866483,4,232,50,20,2
Str170,663,0.0628473858296481,0.5394480147027632,0.44581228605363393,2.9875343066153515,1.2573604986888132,-0.3327777146764037,0.08054850975702293,0.09886273566362673,0.03502585247339867,0.8372194071818398,0.14660288213378087,0.016177710684379277,0.04563707601609797,0.5843842572089358,0.3814884237119576,0.41044562325808515,0.7691356185182441,0.26235799525836867,11,275,59,23,1
Str170,664,0.06275343660624437,0.5383930816755668,0.4460995992798316,2.9878209450165083,1.257631961105385,-0.33281063464312766,0.08042485416813736,0.09867414038116393,0.03491941622243419,0.8372446707838848,0.14663902859087116,0.016116300625244093,0.04558174120889444,0.5831925303547235,0.38150592830440677,0.41003308597405735,0.7688459219806371,0.26208865539800075,11,275,59,23,2
Str170,665,0.08965102482032272,0.4329562620897852,0.37567202196051286,2.9964483458014617,1.7826265914160144,-0.19530618288192814,0.14525424979261864,0.14841882924203953,0.034812120797684545,0.6489451909908973,0.31134701025687855,0.03970779875222415,0.06196267290749067,0.2667090507465015,0.2642556446138625,0.4027423085655274,0.743223474562327,0.35391734644839934,5,425,59,36,1
Str170,666,0.0896215612569174,0.4317239557267568,0.37593204917586714,2.995794593042417,1.7830482958240144,-0.1945723395906395,0.1452549769037058,0.1484213064298952,0.034813852452516524,0.6482458310050192,0.31202837736553385,0.03972579162944688,0.06194584908356011,0.2659625438386264,0.26431189207747197,0.40224516390019294,0.7426037753386713,0.3540574028855641,5,425,59,36,2
Str171,667,0.09836048728179847,0.40783971531210456,0.3606981855107709,2.9709135767213444,1.650023019853082,-0.2561214169225345,0.1605309955321008,0.17236802713745572,0.035827089457055206,0.5890475596366109,0.3775875935483291,0.033364846815059926,0.06879999947554372,0.3032617508193856,0.25585691322684084,0.4025753536410906,0.7575234699472023,0.31031021699503564,2,86,79,8,2
Str171,668,0.09833560055767679,0.4088103801593888,0.36125029869637176,2.971016818520959,1.6505653049458273,-0.25545584543824107,0.16064146877698368,0.17247373246527528,0.035945634926545844,0.5893805658095407,0.3771797194757866,0.033439714714672705,0.06884506921158136,0.3037194452097627,0.25622359484592094,0.40282582198646943,0.7581960013085945,0.310617543056616,2,86,79,8,1
Str171,669,0.08550207149154174,0.43479171124561666,0.36318169440893144,2.975264706245413,1.566731404897343,-0.28250930519806833,0.14041948880279762,0.15479214521853504,0.03568103524941211,0.6578116442506179,0.3122798762347171,0.02990847951466498,0.060270445325194495,0.3602000767479354,0.2642538627946285,0.40066141049010856,0.7614315491061184,0.2994889511880544,5,65,79,6,2
Str171,670,0.08561546442169293,0.4370940474570442,0.3638183192856684,2.9755920636547613,1.5660315771779132,-0.28253360992652404,0.1407442461694491,0.15520792305788814,0.035765861513181646,0.6587163171402306,0.31143054668545006,0.029853136174319294,0.06035769064379638,0.3624183904893744,0.26488514765814253,0.4012737820955289,0.7621048468984823,0.2993838551699034,5,65,79,6,1
Str172,671,0.10205617047896615,0.37512205366284906,0.34471781085092906,3.110638020307069,1.683271772739579,-0.23816473446599018,0.14802574943826494,0.16217659176746804,0.03447755388969216,0.5850527250300899,0.3812057794574772,0.03374149551243286,0.06740886677574222,0.31003510106380217,0.24143601443495546,0.408025469155107,0.7485310859194854,0.31153343150372104,3,195,29,17,2
